Id,properties.name,properties._n_name,properties.n_name,modularity_class
105414,,VARICOSE VEINS,VARICOSE VEINS,17
5384037,,,,17
66862,,NONARTERITIC ANTERIOR ISCHEMIC OPTIC NEUROPATHY,NONARTERITIC ANTERIOR ISCHEMIC OPTIC NEUROPATHY,17
116880,,TORTUOUS RETINAL ARTERIOLES|RETINAL ARTERIOLAR TORTUOSITY,"['TORTUOUS RETINAL ARTERIOLES', 'RETINAL ARTERIOLAR TORTUOSITY']",17
131057,,BLEEDING BELOW THE SKIN|SUBCUTANEOUS HEMORRHAGE,"['BLEEDING BELOW THE SKIN', 'SUBCUTANEOUS HEMORRHAGE']",17
130399,,HYPOGLYCAEMIA|LOW BLOOD SUGAR|HYPOGLYCEMIA,"['HYPOGLYCAEMIA', 'LOW BLOOD SUGAR', 'HYPOGLYCEMIA']",17
83609,,PARALYSIS ON ONE SIDE OF BODY|HEMIPLEGIA,"['PARALYSIS ON ONE SIDE OF BODY', 'HEMIPLEGIA']",17
104921,,PLAQUE BUILD-UP IN ARTERIES|ATHEROSCLEROTIC CARDIOVASCULAR DISEASE|NARROWING AND HARDENING OF ARTERIES|ATHEROSCLEROSIS,"['PLAQUE BUILD-UP IN ARTERIES', 'ATHEROSCLEROTIC CARDIOVASCULAR DISEASE', 'NARROWING AND HARDENING OF ARTERIES', 'ATHEROSCLEROSIS']",17
104230,,BRAIN ISCHEMIA|CEREBROVASCULAR ISCHEMIA|DISRUPTION OF BLOOD OXYGEN SUPPLY TO BRAIN|CEREBRAL ISCHEMIA,"['BRAIN ISCHEMIA', 'CEREBROVASCULAR ISCHEMIA', 'DISRUPTION OF BLOOD OXYGEN SUPPLY TO BRAIN', 'CEREBRAL ISCHEMIA']",17
118138,,"MULTIPLE PULMONARY INFECTIONS|PNEUMONIA, RECURRENT|PNEUMONIA, RECURRENT EPISODES|PULMONARY INFECTION|PULMONARY INFECTIONS|PULMONARY INFECTIONS, RECURRENT|RECURRENT PNEUMONIA|RECURRENT PULMONARY INFECTIONS","['MULTIPLE PULMONARY INFECTIONS', 'PNEUMONIA, RECURRENT', 'PNEUMONIA, RECURRENT EPISODES', 'PULMONARY INFECTION', 'PULMONARY INFECTIONS', 'PULMONARY INFECTIONS, RECURRENT', 'RECURRENT PNEUMONIA', 'RECURRENT PULMONARY INFECTIONS']",17
163934,,DECREASED PAIN SENSATION|DECREASED PINPRICK SENSATION|IMPAIRED PAIN SENSATION,"['DECREASED PAIN SENSATION', 'DECREASED PINPRICK SENSATION', 'IMPAIRED PAIN SENSATION']",17
155732,,ABNORMAL NERVOUS SYSTEM MORPHOLOGY|ABNORMAL SHAPE OF NERVOUS SYSTEM|ABNORMALITY OF NERVOUS SYSTEM MORPHOLOGY,"['ABNORMAL NERVOUS SYSTEM MORPHOLOGY', 'ABNORMAL SHAPE OF NERVOUS SYSTEM', 'ABNORMALITY OF NERVOUS SYSTEM MORPHOLOGY']",17
146339,,SUBDURAL HAEMATOMA|SUBDURAL HEMORRHAGE,"['SUBDURAL HAEMATOMA', 'SUBDURAL HEMORRHAGE']",17
5384025,,,,17
5384027,,,,17
5384029,,,,17
5384031,,,,17
5384033,,,,17
5384035,,,,17
5384039,,,,17
5384041,,,,17
5384043,,,,17
5389171,,,,17
154691,,DIABETES MELLITUS,DIABETES MELLITUS,14
151736,,HYPERPROLACTINAEMIA|HYPERPROLACTINEMIA|PROLACTIN EXCESS|INCREASED CIRCULATING PROLACTIN CONCENTRATION,"['HYPERPROLACTINAEMIA', 'HYPERPROLACTINEMIA', 'PROLACTIN EXCESS', 'INCREASED CIRCULATING PROLACTIN CONCENTRATION']",14
208947,,EXCESSIVE HAIR GROWTH|INCREASED HAIR GROWTH ON BODY|HYPERTRICHOSIS,"['EXCESSIVE HAIR GROWTH', 'INCREASED HAIR GROWTH ON BODY', 'HYPERTRICHOSIS']",14
152770,,MENSTRUAL IRREGULARITY|MENSTRUAL IRREGULARITIES,"['MENSTRUAL IRREGULARITY', 'MENSTRUAL IRREGULARITIES']",14
81462,,GALACTORRHOEA|SPONTANEOUS MILK FLOW FROM BREAST|GALACTORRHEA,"['GALACTORRHOEA', 'SPONTANEOUS MILK FLOW FROM BREAST', 'GALACTORRHEA']",14
116178,,ELEVATED ALKALINE PHOSPHATASE|ELEVATED ALP|GREATLY ELEVATED ALKALINE PHOSPHATASE|HIGH SERUM ALKALINE PHOSPHATASE|HYPERPHOSPHATASEMIA|HYPERPHOSPHATASIA|INCREASED ALKALINE PHOSPHATASE|INCREASED SERUM ALKALINE PHOSPHATASE,"['ELEVATED ALKALINE PHOSPHATASE', 'ELEVATED ALP', 'GREATLY ELEVATED ALKALINE PHOSPHATASE', 'HIGH SERUM ALKALINE PHOSPHATASE', 'HYPERPHOSPHATASEMIA', 'HYPERPHOSPHATASIA', 'INCREASED ALKALINE PHOSPHATASE', 'INCREASED SERUM ALKALINE PHOSPHATASE']",14
145339,,LEWY BODY DISEASE|LEWY BODIES,"['LEWY BODY DISEASE', 'LEWY BODIES']",21
139869,,BRAINDRUSE|NEURITIC PLAQUES|SENILE DRUSE|SENILE PLAQUES,"['BRAINDRUSE', 'NEURITIC PLAQUES', 'SENILE DRUSE', 'SENILE PLAQUES']",5
65958,,BRAIN TUMOR|BRAIN TUMOUR|BRAIN NEOPLASM,"['BRAIN TUMOR', 'BRAIN TUMOUR', 'BRAIN NEOPLASM']",5
164259,,SPOKEN WORD RECOGNITION DEFICIT,SPOKEN WORD RECOGNITION DEFICIT,5
156759,,ABNORMAL BRAIN FDG PET SCAN|ABNORMAL BRAIN FDG POSITRON EMISSION TOMOGRAPHY,"['ABNORMAL BRAIN FDG PET SCAN', 'ABNORMAL BRAIN FDG POSITRON EMISSION TOMOGRAPHY']",5
143448,,PERSEVERATIVE BEHAVIOR|PERSEVERATIVE BEHAVIOUR|PERSEVERATION,"['PERSEVERATIVE BEHAVIOR', 'PERSEVERATIVE BEHAVIOUR', 'PERSEVERATION']",31
157444,,EEG WITH CONTINUOUS SLOW ACTIVITY,EEG WITH CONTINUOUS SLOW ACTIVITY,5
127653,,TEMPORAL CORTICAL ATROPHY,TEMPORAL CORTICAL ATROPHY,5
191436,,GRAMMAR-SPECIFIC SPEECH DISORDER,['GRAMMAR-SPECIFIC SPEECH DISORDER'],5
174926,,"CEREBRAL ATROPHY, FRONTOTEMPORAL|FRONTOTEMPORAL CEREBRAL ATROPHY","['CEREBRAL ATROPHY, FRONTOTEMPORAL', 'FRONTOTEMPORAL CEREBRAL ATROPHY']",5
66313,,BROCA'S APHASIA|EXPRESSIVE APHASIA|LOSS OF EXPRESSIVE SPEECH|MOTOR APHASIA,"[""BROCA'S APHASIA"", 'EXPRESSIVE APHASIA', 'LOSS OF EXPRESSIVE SPEECH', 'MOTOR APHASIA']",5
5381165,,,,5
95420,,RESTLESSNESS,['RESTLESSNESS'],5
69503,,EXCESS NUCHAL SKIN|INCREASED NUCHAL FOLD THICKNESS|THICKENED NUCHAL SKIN|THICKENED SKIN FOLDS OF NECK|THICKENED SKIN OVER THE NECK|THICKENED NUCHAL SKIN FOLD,"['EXCESS NUCHAL SKIN', 'INCREASED NUCHAL FOLD THICKNESS', 'THICKENED NUCHAL SKIN', 'THICKENED SKIN FOLDS OF NECK', 'THICKENED SKIN OVER THE NECK', 'THICKENED NUCHAL SKIN FOLD']",5
5381157,,,,5
5381155,,,,5
5381163,,,,5
5381161,,,,5
5381159,,,,5
5381167,,,,5
5381169,,,,5
5381171,,,,5
5381173,,,,5
5381175,,,,5
5381177,,,,5
5381179,,,,5
5381297,,,,5
5391601,,,,5
5392133,,,,5
131098,,DRY EYES|KERATITIS SICCA|XEROPHTHALMIA|DRY EYE SYNDROME|KERATOCONJUNCTIVITIS SICCA,"['DRY EYES', 'KERATITIS SICCA', 'XEROPHTHALMIA', 'DRY EYE SYNDROME', 'KERATOCONJUNCTIVITIS SICCA']",19
162646,,OAT CELL CARCINOMA OF LUNG|OAT CELL LUNG CANCER|SMALL CELL LUNG CANCER|SMALL CELL LUNG CARCINOMA,"['OAT CELL CARCINOMA OF LUNG', 'OAT CELL LUNG CANCER', 'SMALL CELL LUNG CANCER', 'SMALL CELL LUNG CARCINOMA']",19
89089,,ABNORMALITY OF THE EYE REGION|ABNORMALITY OF THE REGION AROUND THE EYES|ANOMALY OF THE ORBITAL REGION OF THE FACE|DEFORMITY OF THE ORBITAL REGION OF THE FACE|MALFORMATION OF THE ORBITAL REGION OF THE FACE|ABNORMALITY OF THE ORBITAL REGION,"['ABNORMALITY OF THE EYE REGION', 'ABNORMALITY OF THE REGION AROUND THE EYES', 'ANOMALY OF THE ORBITAL REGION OF THE FACE', 'DEFORMITY OF THE ORBITAL REGION OF THE FACE', 'MALFORMATION OF THE ORBITAL REGION OF THE FACE', 'ABNORMALITY OF THE ORBITAL REGION']",19
140662,,CA CHANNEL ANTIBODY POSITIVITY|CA2+ CHANNEL ANTIBODY POSITIVITY|CALCIUM CHANNEL ANTIBODY POSITIVITY,"['CA CHANNEL ANTIBODY POSITIVITY', 'CA2+ CHANNEL ANTIBODY POSITIVITY', 'CALCIUM CHANNEL ANTIBODY POSITIVITY']",19
107485,,EMG: REPETITIVE NERVE STIMULATION ABNORMALITY,EMG: REPETITIVE NERVE STIMULATION ABNORMALITY,19
120230,,"MUSCLE WEAKNESS, PROGRESSIVE, PROXIMAL|PROGRESSIVE PROXIMAL MUSCLE WEAKNESS","['MUSCLE WEAKNESS, PROGRESSIVE, PROXIMAL', 'PROGRESSIVE PROXIMAL MUSCLE WEAKNESS']",19
165842,,EMG: DECREMENTAL RESPONSE OF CMAP TO REPETITIVE NERVE STIMULATION|EMG: DECREMENT AT REPETITIVE STIMULATION|EMG: DECREMENTAL RESPONSE OF COMPOUND MUSCLE ACTION POTENTIAL TO REPETITIVE NERVE STIMULATION,"['EMG: DECREMENTAL RESPONSE OF CMAP TO REPETITIVE NERVE STIMULATION', 'EMG: DECREMENT AT REPETITIVE STIMULATION', 'EMG: DECREMENTAL RESPONSE OF COMPOUND MUSCLE ACTION POTENTIAL TO REPETITIVE NERVE STIMULATION']",19
79880,,"FEBRILE CONVULSIONS|FEVER INDUCED SEIZURES|SEIZURES, FEBRILE, IN EARLY CHILDHOOD|SEIZURES, GENERALIZED, ASSOCIATED WITH FEVER|FEBRILE SEIZURES","['FEBRILE CONVULSIONS', 'FEVER INDUCED SEIZURES', 'SEIZURES, FEBRILE, IN EARLY CHILDHOOD', 'SEIZURES, GENERALIZED, ASSOCIATED WITH FEVER', 'FEBRILE SEIZURES']",38
197334,,ABNORMAL MOUTH|ABNORMALITY OF THE MOUTH,"['ABNORMAL MOUTH', 'ABNORMALITY OF THE MOUTH']",38
78620,,"EEG: SPIKE AND MULTISPIKE WAVES, 3-4 HZ|EEG WITH POLYSPIKE WAVE COMPLEXES","['EEG: SPIKE AND MULTISPIKE WAVES, 3-4 HZ', 'EEG WITH POLYSPIKE WAVE COMPLEXES']",38
132017,,MORNING GENERALIZED TONIC-CLONIC SEIZURES|GENERALIZED TONIC-CLONIC SEIZURES ON AWAKENING,"['MORNING GENERALIZED TONIC-CLONIC SEIZURES', 'GENERALIZED TONIC-CLONIC SEIZURES ON AWAKENING']",38
184197,,EEG WITH 3-4-HZ SPIKE WAVES|EEG WITH SPIKE-WAVE COMPLEXES (>3.5 HZ),"['EEG WITH 3-4-HZ SPIKE WAVES', 'EEG WITH SPIKE-WAVE COMPLEXES (>3.5 HZ)']",38
5368732,,,,38
5368730,,,,38
119374,,ABNORMAL SHAPE OF BRAIN|ABNORMALITY OF THE BRAIN|ABNORMALITY OF BRAIN MORPHOLOGY,"['ABNORMAL SHAPE OF BRAIN', 'ABNORMALITY OF THE BRAIN', 'ABNORMALITY OF BRAIN MORPHOLOGY']",38
204960,,OPTIC NEURITIS,OPTIC NEURITIS,38
109411,,AUTOIMMUNE ANTIBODY POSITIVITY,AUTOIMMUNE ANTIBODY POSITIVITY,38
130281,,LEG PARALYSIS|PARAPLEGIA,"['LEG PARALYSIS', 'PARAPLEGIA']",38
140193,,POOR BLADDER FUNCTION|FUNCTIONAL ABNORMALITY OF THE BLADDER,"['POOR BLADDER FUNCTION', 'FUNCTIONAL ABNORMALITY OF THE BLADDER']",38
5339270,,,,38
5354712,,,,38
5354732,,,,38
5354734,,,,38
5354736,,,,38
5375783,,,,38
5378687,,,,38
143465,,VISUAL AGNOSIA,VISUAL AGNOSIA,21
81384,,AMNESIC APHASIA|AMNESTIC APHASIA|ANOMIC APHASIA|NOMINAL APHASIA|ANOMIA,"['AMNESIC APHASIA', 'AMNESTIC APHASIA', 'ANOMIC APHASIA', 'NOMINAL APHASIA', 'ANOMIA']",21
157673,,ABOULIA|ABULIA,"['ABOULIA', 'ABULIA']",21
5348300,,,,31
5348304,,,,31
5348306,,,,31
5348314,,,,31
5348318,,,,31
5348322,,,,31
5348324,,,,31
5356490,,,,31
5356496,,,,31
5385177,,,,31
5385179,,,,31
5386141,,,,12
5337726,,,,12
5350858,,,,12
5350856,,,,12
5350854,,,,12
5337728,,,,12
5350860,,,,12
5386137,,,,12
5386139,,,,12
5387787,,,,12
79099,,DECREASED BODY HEIGHT|HEIGHT LESS THAN 3RD PERCENTILE|SHORT STATURE|SMALL STATURE|STATURE BELOW 3RD PERCENTILE,"['DECREASED BODY HEIGHT', 'HEIGHT LESS THAN 3RD PERCENTILE', 'SHORT STATURE', 'SMALL STATURE', 'STATURE BELOW 3RD PERCENTILE']",19
205869,,SCAPULA ALATA|WINGED SCAPULAE|WINGED SCAPULAS|WINGED SHOULDER BLADE|SCAPULAR WEAKNESS|SCAPULAR WINGING|WINGED SCAPULA,"['SCAPULA ALATA', 'WINGED SCAPULAE', 'WINGED SCAPULAS', 'WINGED SHOULDER BLADE', 'SCAPULAR WEAKNESS', 'SCAPULAR WINGING', 'WINGED SCAPULA']",19
168703,,ABNORMAL ELECTROMYOGRAPHY FINDING|ABNORMAL EMG|ELECTROMYOGRAM ABNORMAL|EMG ABNORMALITIES|EMG ABNORMALITY,"['ABNORMAL ELECTROMYOGRAPHY FINDING', 'ABNORMAL EMG', 'ELECTROMYOGRAM ABNORMAL', 'EMG ABNORMALITIES', 'EMG ABNORMALITY']",19
55917,,"PERSISTENT BLUE COLOR OF HANDS, FEET, OR PARTS OF FACE|ACROCYANOSIS","['PERSISTENT BLUE COLOR OF HANDS, FEET, OR PARTS OF FACE', 'ACROCYANOSIS']",19
135605,,"CONGENITAL, UPWARD DISPLACEMENT OF THE SCAPULA|HIGH SCAPULA|HIGH SHOULDER BLADE|SPRENGEL DEFORMITY|CONGENITAL ELEVATION OF SCAPULA|SPRENGEL ANOMALY","['CONGENITAL, UPWARD DISPLACEMENT OF THE SCAPULA', 'HIGH SCAPULA', 'HIGH SHOULDER BLADE', 'SPRENGEL DEFORMITY', 'CONGENITAL ELEVATION OF SCAPULA', 'SPRENGEL ANOMALY']",19
196206,,CLEFT SECONDARY PALATE|CLEFT HARD AND SOFT PALATE|CLEFT OF HARD AND SOFT PALATE|CLEFT OF PALATE|CLEFT PALATE|CLEFT ROOF OF MOUTH|PALATOSCHISIS|URANOSTAPHYLOSCHISIS,"['CLEFT SECONDARY PALATE', 'CLEFT HARD AND SOFT PALATE', 'CLEFT OF HARD AND SOFT PALATE', 'CLEFT OF PALATE', 'CLEFT PALATE', 'CLEFT ROOF OF MOUTH', 'PALATOSCHISIS', 'URANOSTAPHYLOSCHISIS']",19
196833,,MICROSTOMIA|NARROW MOUTH|SMALL MOUTH|SMALL ORAL APERTURE,"['MICROSTOMIA', 'NARROW MOUTH', 'SMALL MOUTH', 'SMALL ORAL APERTURE']",19
5342986,,,,19
2597936,,,,19
5342982,,,,19
5342984,,,,19
165437,,POSTURAL TREMOR OF ARMS|UPPER LIMB POSTURAL TREMOR,"['POSTURAL TREMOR OF ARMS', 'UPPER LIMB POSTURAL TREMOR']",22
162528,,KYPHOSCOLIOSIS,KYPHOSCOLIOSIS,22
204949,,BREATHING DIFFICULTIES|DIFFICULTY BREATHING|RESPIRATORY DIFFICULTIES|SHORT OF BREATH|SHORTNESS OF BREATH|RESPIRATORY DISTRESS,"['BREATHING DIFFICULTIES', 'DIFFICULTY BREATHING', 'RESPIRATORY DIFFICULTIES', 'SHORT OF BREATH', 'SHORTNESS OF BREATH', 'RESPIRATORY DISTRESS']",22
71991,,EUNUCHOID HABITUS,EUNUCHOID HABITUS,22
194973,,GAPED JAWED APPEARANCE|GAPED MOUTHED APPEARANCE|OPEN MOUTH|SLACK JAWED APPEARANCE|OPEN MOUTH APPEARANCE,"['GAPED JAWED APPEARANCE', 'GAPED MOUTHED APPEARANCE', 'OPEN MOUTH', 'SLACK JAWED APPEARANCE', 'OPEN MOUTH APPEARANCE']",22
195569,,ABNORMALITY OF LINGUAL MOVEMENT|MOVEMENT ABNORMALITY OF THE TONGUE,"['ABNORMALITY OF LINGUAL MOVEMENT', 'MOVEMENT ABNORMALITY OF THE TONGUE']",22
5355806,,,,22
5356588,,,,22
5392197,,,,22
104293,,MONOTONIC SPEECH,MONOTONIC SPEECH,21
127878,,SUBSTANTIA NIGRA GLIOSIS,SUBSTANTIA NIGRA GLIOSIS,21
5342196,,,,21
5342198,,,,21
5342200,,,,21
5390061,,,,21
118258,,EPISODIC VOMITING|FREQUENT VOMITING,"['EPISODIC VOMITING', 'FREQUENT VOMITING']",15
68813,,EPIGASTRIUM PAIN|EPIGASTRIC PAIN,"['EPIGASTRIUM PAIN', 'EPIGASTRIC PAIN']",15
208934,,INFLAMMATION OF THE ESOPHAGUS|OESOPHAGITIS|ESOPHAGITIS,"['INFLAMMATION OF THE ESOPHAGUS', 'OESOPHAGITIS', 'ESOPHAGITIS']",15
137387,,ABNORMAL INVOLUNTARY EYE MOVEMENTS,ABNORMAL INVOLUNTARY EYE MOVEMENTS,31
128581,,LIMITED NECK MOVEMENT|DECREASED CERVICAL SPINE MOBILITY,"['LIMITED NECK MOVEMENT', 'DECREASED CERVICAL SPINE MOBILITY']",15
173264,,VOMITTING BLOOD|HEMATEMESIS,"['VOMITTING BLOOD', 'HEMATEMESIS']",15
31105,,ANAEMIA|LOW NUMBER OF RED BLOOD CELLS OR HEMOGLOBIN|DECREASED HEMOGLOBIN|ANEMIA,"['ANAEMIA', 'LOW NUMBER OF RED BLOOD CELLS OR HEMOGLOBIN', 'DECREASED HEMOGLOBIN', 'ANEMIA']",15
120246,,ABNORMAL POSTURING,ABNORMAL POSTURING,15
64848,,ABNORMAL HEAD MOVEMENTS,['ABNORMAL HEAD MOVEMENTS'],15
86513,,ABNORMAL HEARING|HEARING ABNORMALITY,"['ABNORMAL HEARING', 'HEARING ABNORMALITY']",3
196084,,ALTITUDINAL VISUAL FIELD DEFECT,ALTITUDINAL VISUAL FIELD DEFECT,3
191565,,INTERMITTENT CEREBELLAR ATAXIA|PAROXYSMAL ATAXIA|EPISODIC ATAXIA,"['INTERMITTENT CEREBELLAR ATAXIA', 'PAROXYSMAL ATAXIA', 'EPISODIC ATAXIA']",3
68506,,ABNORMALITY OF THE EYELID|ABNORMALITY OF THE EYELIDS|ABNORMAL EYELID MORPHOLOGY,"['ABNORMALITY OF THE EYELID', 'ABNORMALITY OF THE EYELIDS', 'ABNORMAL EYELID MORPHOLOGY']",3
194263,,ABNORMALITY OF HIGHER MENTAL FUNCTION,ABNORMALITY OF HIGHER MENTAL FUNCTION,38
128827,,FINGER AGNOSIA,FINGER AGNOSIA,6
173797,,NEURODEVELOPMENTAL ABNORMALITY,NEURODEVELOPMENTAL ABNORMALITY,6
118798,,ABNORMAL SOCIAL BEHAVIOR|ABNORMAL SOCIAL BEHAVIOUR|ABNORMAL SOCIAL INTERACTIONS,"['ABNORMAL SOCIAL BEHAVIOR', 'ABNORMAL SOCIAL BEHAVIOUR', 'ABNORMAL SOCIAL INTERACTIONS']",6
72560,,DEPOSITS IMMUNOREACTIVE TO BETA-AMYLOID PROTEIN,DEPOSITS IMMUNOREACTIVE TO BETA-AMYLOID PROTEIN,6
5366806,,,,6
5366808,,,,6
5366810,,,,6
5366812,,,,6
5366814,,,,6
5366816,,,,6
5366818,,,,6
5366820,,,,6
5366822,,,,6
5366824,,,,6
5366826,,,,6
5366828,,,,6
5366830,,,,6
5366832,,,,6
5366834,,,,6
5366836,,,,6
5366838,,,,6
5366840,,,,6
5366842,,,,6
5366844,,,,6
5366846,,,,6
5366848,,,,6
5366850,,,,6
5366852,,,,6
5366856,,,,6
5366858,,,,6
5368850,,,,6
5370940,,,,6
5374589,,,,6
5375853,,,,6
5391885,,,,6
5345028,,,,6
5345018,,,,6
5345020,,,,6
5345024,,,,6
5345022,,,,6
5345026,,,,6
5373329,,,,6
5389359,,,,6
5389361,,,,6
5389321,,,,6
5389323,,,,6
5389363,,,,6
5389405,,,,6
5389407,,,,6
5389409,,,,6
5389411,,,,6
5389413,,,,6
5389415,,,,6
5389417,,,,6
5389419,,,,6
5391771,,,,6
191027,,JERKY SMOOTH PURSUIT|JERKY OCULAR PURSUIT MOVEMENTS,"['JERKY SMOOTH PURSUIT', 'JERKY OCULAR PURSUIT MOVEMENTS']",12
5376177,,,,12
5376179,,,,12
112057,,LIMITED NECK MOBILITY|LIMITATION OF NECK MOTION|RESTRICTED NECK MOVEMENT,"['LIMITED NECK MOBILITY', 'LIMITATION OF NECK MOTION', 'RESTRICTED NECK MOVEMENT']",19
90540,,LIMB PAIN|PAIN IN EXTREMITIES,"['LIMB PAIN', 'PAIN IN EXTREMITIES']",19
143302,,RAPID BREATHING|HYPERVENTILATION,"['RAPID BREATHING', 'HYPERVENTILATION']",19
183189,,BRACHYCARDIA|SLOW HEARTBEATS|BRADYCARDIA,"['BRACHYCARDIA', 'SLOW HEARTBEATS', 'BRADYCARDIA']",19
163777,,ELEVATED IMMUNOGLOBULIN LEVELS|HYPERGAMMAGLOBULINAEMIA|HYPERGAMMAGLOBULINEMIA|HYPERGLOBULINEMIA|INCREASED GAMMA GLOBULIN|INCREASED IMMUNOGLOBULIN LEVEL|INCREASED SERUM GAMMA GLOBULIN|RAISED IMMUNOGLOBULIN LEVELS|INCREASED ANTIBODY LEVEL IN BLOOD,"['ELEVATED IMMUNOGLOBULIN LEVELS', 'HYPERGAMMAGLOBULINAEMIA', 'HYPERGAMMAGLOBULINEMIA', 'HYPERGLOBULINEMIA', 'INCREASED GAMMA GLOBULIN', 'INCREASED IMMUNOGLOBULIN LEVEL', 'INCREASED SERUM GAMMA GLOBULIN', 'RAISED IMMUNOGLOBULIN LEVELS', 'INCREASED ANTIBODY LEVEL IN BLOOD']",19
129229,,BILATERAL BASAL GANGLIA LESIONS,BILATERAL BASAL GANGLIA LESIONS,19
94823,,RECURRENT VIRAL INFECTIONS,RECURRENT VIRAL INFECTIONS,19
186831,,MUSCLE STIFFNESS,MUSCLE STIFFNESS,40
129325,,HEART PALPITATIONS|MISSED HEART BEAT|PALPITATIONS|SKIPPED HEART BEAT,"['HEART PALPITATIONS', 'MISSED HEART BEAT', 'PALPITATIONS', 'SKIPPED HEART BEAT']",40
186298,,HOARSE VOICE|HOARSENESS|HUSKY VOICE,"['HOARSE VOICE', 'HOARSENESS', 'HUSKY VOICE']",40
86489,,ABNORMALITY OF THE NOSE|ANOMALY OF THE NOSE|NASAL ABNORMALITY|NASAL ANOMALY|DEFORMITY OF THE NOSE|MALFORMATION OF THE NOSE|NASAL DEFORMITY|NASAL MALFORMATION,"['ABNORMALITY OF THE NOSE', 'ANOMALY OF THE NOSE', 'NASAL ABNORMALITY', 'NASAL ANOMALY', 'DEFORMITY OF THE NOSE', 'MALFORMATION OF THE NOSE', 'NASAL DEFORMITY', 'NASAL MALFORMATION']",40
129053,,BLEPHAROPTOSIS|DROOPING UPPER EYELID|EYELID PTOSIS|EYE DROP|PTOSIS,"['BLEPHAROPTOSIS', 'DROOPING UPPER EYELID', 'EYELID PTOSIS', 'EYE DROP', 'PTOSIS']",12
168190,,EMG: NEUROGENIC ABNORMALITIES|EMG: NEUROGENIC CHANGES|EMG: NEUROGENIC FINDINGS|EMG: NEUROPATHIC CHANGES,"['EMG: NEUROGENIC ABNORMALITIES', 'EMG: NEUROGENIC CHANGES', 'EMG: NEUROGENIC FINDINGS', 'EMG: NEUROPATHIC CHANGES']",12
121387,,ATROPHY OF THE TONGUE|LINGUAL ATROPHY|LINGUAL WASTING|WASTING OF THE TONGUE|TONGUE ATROPHY,"['ATROPHY OF THE TONGUE', 'LINGUAL ATROPHY', 'LINGUAL WASTING', 'WASTING OF THE TONGUE', 'TONGUE ATROPHY']",12
5371184,,,,12
5354798,,,,14
5354802,,,,14
5373239,,,,14
5354804,,,,14
5343604,,,,14
5354806,,,,14
5354800,,,,14
5343606,,,,14
5358086,,,,14
5373305,,,,14
185142,,ENDOCARDITIS,ENDOCARDITIS,12
168095,,REDNESS OF SKIN OR MUCOUS MEMBRANE|ERYTHEMA,"['REDNESS OF SKIN OR MUCOUS MEMBRANE', 'ERYTHEMA']",12
101648,,INFECTED JOINT|SEPTIC ARTHRITIS,"['INFECTED JOINT', 'SEPTIC ARTHRITIS']",12
123158,,BALLISMUS|HEMIBALLISMUS,"['BALLISMUS', 'HEMIBALLISMUS']",12
179364,,FACIAL GRIMACING,['FACIAL GRIMACING'],12
134897,,ABNORMALITY OF THE SKELETAL SYSTEM|SKELETAL ABNORMALITIES|SKELETAL ANOMALIES,"['ABNORMALITY OF THE SKELETAL SYSTEM', 'SKELETAL ABNORMALITIES', 'SKELETAL ANOMALIES']",19
183003,,SCINTILLATING SCOTOMA,SCINTILLATING SCOTOMA,38
106360,,ALLERGY,['ALLERGY'],38
166562,,BACK PAIN,['BACK PAIN'],38
143438,,PULSATILE TINNITUS,PULSATILE TINNITUS,38
142398,,OLFACTORY AURAS,OLFACTORY AURAS,38
110841,,MORNING MYOCLONIC JERKS,MORNING MYOCLONIC JERKS,2
5384377,,,,38
5389869,,,,38
5353972,,,,38
5353974,,,,38
5376357,,,,38
5383837,,,,38
5383839,,,,38
5383841,,,,38
5383843,,,,38
167817,,ABNORMALITY OF THE DIAPHRAGM|DIAPHRAGM ISSUES|DIAPHRAGMATIC DEFECT,"['ABNORMALITY OF THE DIAPHRAGM', 'DIAPHRAGM ISSUES', 'DIAPHRAGMATIC DEFECT']",21
130390,,DEHYDRATION,['DEHYDRATION'],21
82955,,MALNUTRITION,['MALNUTRITION'],21
61086,,ABNORMAL EATING BEHAVIOR,['ABNORMAL EATING BEHAVIOR'],21
128477,,ORAL MOTOR HYPOTONIA,ORAL MOTOR HYPOTONIA,31
